pid,label,creator,publisher,_date,format,clio,collection,citation,description
s97,"Inside Modernity: Indigeneity, Coloniality, Modernisms. In Mapping Modernisms: Art, Indigeneity, Colonialism",Elizabeth Harney and Ruth B. Phillips. ,Duke University Press,2021,book chapter,https://clio.columbia.edu/catalog/13818021,undesign,"Harney, Elizabeth, and Ruth B. Phillips. ""Inside Modernity: Indigeneity, Coloniality, Modernisms."" In Mapping Modernisms: Art, Indigeneity, Colonialism. Durham: Duke University Press, 2021.",
s98,It Didn’t Pay Off,Nathan J. Robinson ,Jacobin,"October 1, 21016",article,,undesign,"Robinson, Nathan J. ""It Didn't Pay Off."" Jacobin, October 1, 2016, https://jacobinmag.com/2016/10/clinton-welfare-reform-prwora-tanf-lillie-harden.",
s99,It's Never Over,Yana Kunichoff and Kelly Viselman,Jewish Currents,"November 5, 2020",article,,undesign,"Kunichoff, Yana  and Kelly Viselman. ""It's Never Over."" Jewish Currents, November 5, 2020, https://jewishcurrents.org/its-never-over/.",
s100,J.T. the L.A. Storyteller:People. Places. Los Cuentos.,,Jimbo Times the L.A. Storyteller,,website,,undesign,Jimbo Times the L.A. Storyteller. https://jimbotimes.com/.,
s101,,,Journal of Urban Health,"Volume 88, issue 3, June 2011",article,,undesign,"Journal of Urban Health 88, no. 3 (June 2011). https://doi.org/10.1007/11524.1468-2869. ",
s102,Land-Grab Universities,"Robert Lee, Tristan Ahtone, Margaret Pearce, Kalen Goodluck, Geoff McGhee, Cody Leff, Katherine Lanpher and Taryn Salinas",High Country News,,article,,undesign,"Lee, Robert, Tristan Ahtone, Margaret Pearce, Kalen Goodluck, Geoff McGhee, Cody Leff, Katherine Lanpher, and Taryn Salinas. ""Land-Grab Universities."" High Country News, March 30, 2020, https://www.hcn.org/issues/52.4/indigenous-affairs-education-land-grab-universities. ",
s103,Land Use Decisions Have Life and Death Consequences,Lena Afridi and Chris Walters,Association for Neighborhood and Housing Development,"April 10, 2020",blog post,,land-use,"Afridi, Lena, and Chris Walters. ""Land Use Decisions Have Life and Death Consequences."" Association for Neighborhood and Housing Development, April 10, 2020, https://anhd.org/blog/land-use-decisions-have-life-and-death-consequences. ",
s104,"Making Our Neighborhood: Redlining, Gentrification and Housing in East Hollywood",Samanta Helou Hernandez and Jimmy Recinos,Jimbo Times the L.A. Storyteller,2021,article,,undesign,"Helou Hernandez, Samanta, and Jimmy Recinos. ""Making Our Neighborhood: Redlining, Gentrification and Housing in East Hollywood."" Los Angeles: Jimbo Times the L.A. Storyteller, 2021.",
s105,"Community Futures: A Communal Quantum Time Capsule of Stories of the Past, Present, and Future(s) of North Philly",,Community Futurisms,,map,,undesign,"Community Futurisms. Community Futures: A Communal Quantum Time Capsule of Stories of the Past, Present, and Future(s) of North Philly. https://futureslab.community/.",
s106,Mapping Inequality: Redlining in New Deal America,,"University or Richmond, Virginia Tech, and the University of Maryland",,map,,undesign,"University or Richmond, Virginia Tech, and the University of Maryland. Mapping Inequality: Redlining in New Deal America. https://dsl.richmond.edu/panorama/redlining/.",
s107,Mapping Prejudice,,University of Minnesota,,map,,undesign,University of Minnesota. Mapping Prejudice. https://mappingprejudice.umn.edu/index.html. ,
s108,Mapping Segregation in Washington DC,,Prologue DC,,map,,undesign,Prologue DC. Mapping Segregation in Washington DC. http://www.mappingsegregationdc.org/index.html#mapping/. ,
s109,"Margie Polite, the Riot Starter: Harlem, 1943","Leach, Laurie F.",Studies in the Literary Imagination,2007,article,,undesign,"Leach, Laurie F. 2007. ""Margie Polite, The Riot Starter: Harlem, 1943."" Studies in the Literary Imagination 40 (2) (Fall): 25-48, 173. https://www.proquest.com/docview/198125730/abstract/F557E5D2966B44FAPQ/1",
s110,"Marie Runyon Papers, 1955-2008: Finding Aid","Runyon, Marie M.",,,manuscript,https://clio.columbia.edu/catalog/6606156,undesign,"Marie Runyon Papers, 1955-2008 [finding aid]. Columbia University Archives, New York, NY. https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_6606156",
s111,Methodologies for Housing Justice Resource Guide,"Ananya Roy, Raquel Rolnik, Terra Graziani, Hilary Malson (editors)",University of California,2020,book,,undesign,"Roy, Ananya; Rolnik; Raquel; Graziani, Terra; Malson, Hilary, editors. 2020. Methodologies for Housing Justice Resource Guide. UCLA Institute on Inequality and Democracy. https://escholarship.org/uc/item/41g6f5cj",
s112,Disaster in the Context of Unmitigated Disaster ,Mindy Fullilove,Garrison Institute,2013,video,,undesign,"Fullilove, Mindy. 2013. Mindy Fullilove: Disaster in the Context of Unmitigated Disaster. Video. https://www.youtube.com/watch?v=O0PqoCAhluw",
s113,The Ecology of Inequality,Mindy Fullilove,TED,2017,video,,undesign,"Fullilove, Mindy. 2017. The Ecology of Inequality. Video. TEDxMidAtlantic 2017. https://www.ted.com/talks/mindy_fullilove_the_ecology_of_inequality.",
s114,Beyond Rootshock,Mindy Fullilove,CityWorks Xpo,2014,video,,undesign,"Fullilove, Mindy. 2014. Beyond Rootshock. Video. https://www.youtube.com/watch?v=xDx0qrVm6mE.",
s115,Modern-Day Redlining: Banks Discriminate in Lending,Aaron Glantz and Emmanuel Martinez,Reveal,2018,blog post,,undesign,"Martinez, Emmanuel, and Aaron Glantz. 2018. “Modern-Day Redlining: Banks Discriminate in Lending.” Reveal (blog). February 15, 2018. http://revealnews.org/article/for-people-of-color-banks-are-shutting-the-door-to-homeownership/.",
s116,Morningside Area Alliance records : Finding Aid,"Morningside Heights, Inc; Cathedral of St. John the Divine (New York, N.Y.); Cathedral Parkway; Corpus Christi Church (New York, N.Y.); General Grant Houses; International House of New York; Manhattanville Houses; Morningside Gardens; Remedco; St. Hilda's Church (New York, N.Y.); St. Hilda's and St. Hugh's Schools (New York, N.Y.); St. Luke's Hospital (New York, N.Y.); Morningsider",,,manuscript,,undesign,"Morningside Area Alliance Records, 1947-1992 [finding aid]. Columbia University Archives, New York, NY. https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_4412857",
s117,Mothers 4 Housing and the Legacy of Black Anti-Growth Politics,"Roane, J. T.",AAIHS,2020,blog post,,undesign,"Roane, J.T. 2020. “Mothers 4 Housing and the Legacy of Black Anti-Growth Politics.” Black Perspectives (blog). January 15, 2020. https://www.aaihs.org/mothers-4-housing-and-the-legacy-of-black-anti-growth-politics/.",
s118,My Projects Runway (@my.projectsrunway) ,Jayah Arnett,,,website,,undesign,"Arnett, Jayah. My Projects Runway (@my.projectsrunway). Instagram. https://www.instagram.com/my.projectsrunway/",
s119,"Documenting Crossroads: The Coronavirus in Poor, Minority Communities","Camilo José Vergara, Chrysanthe Broikos",National Buliding Museum,2020,website,,undesign,"Vergara, Camilo José, and Broikos Chrysanthe. 2020. Documenting Crossroads: The Coronavirus in Poor, Minority Communities. National Building Museum. 2020. https://www.nbm.org/exhibition/documenting-crossroads/.",
s120,I Still Believe In It,Chana Joffe-Walt,Nice White Parents ,,audio,,undesign,"Joffe-Walt, Chana. 2020. I Still Believe in It. Nice White Parents. https://podcasts.google.com/feed/aHR0cHM6Ly9yc3MuYXJ0MTkuY29tL25pY2Utd2hpdGUtcGFyZW50cw/episode/Z2lkOi8vYXJ0MTktZXBpc29kZS1sb2NhdG9yL1YwL0NjbFBTa1RkX0EzTDNET2RJWjhRTDY1NkpmbWhNaXR6LWtSRll0NDdqblk.",
s121,Not a Place to Live: Resisting Rightlessness through Word and Body,A. Naomi Paik,UNC Press,2016,book chapter,,undesign,"Paik, A. Naomi. 2016. ""Not a Place to Live: Resisting Rightlessness through Word and Body."" In Rightlessness: Testimony and Redress in US Prison Camps since World War II. Chapel Hill: UNC Press Books.",
s122,Novel Shocks : Urban Renewal and the Origins of Neoliberalism ,Myka Tucker-Abramson,Fordham University Press,2019,book,https://clio.columbia.edu/catalog/13675269,undesign,"Tucker-Abramson, Myka. 2019. Novel Shocks: Urban Renewal and the Origins of Neoliberalism. First edition. New York: Fordham University Press.",
s123,On Preventing Pandemic Displacement,Samuel Stein,Jewish Currents,2020,blog post,,undesign,"Stein, Samuel. 2020. “On Preventing Pandemic Displacement.” Jewish Currents (blog). October 23, 2020. https://jewishcurrents.org/on-preventing-pandemic-displacement/.",
s124,Out of Print: June Jordan,Doreen St. Félix,ELLE + Lenny Letter,2015,article,,undesign,"St. Félix, Doreen. 2015. “Out of Print: June Jordan.” ELLE and Lenny Letter, September 30, 2015. https://www.elle.com/culture/books/a30763/out-of-print-june-jordan/.",
s125,Detroit 48202: Conversations Along a Postal Route,Pam Sporn,PBS,2018,video,,undesign,"
Sporn, Pam. 2019. Detroit 48202: Conversations Along a Postal Route. PBS. https://www.pbs.org/video/detroit-48202-conversations-along-a-postal-route-tzx2ee/.",
s126,Máximo Rafael Colón Photography,Máximo Rafael Colón,Máximo Rafael Colón Photography,,website,,tenant-organizing,"Colón, Máximo Rafael. Máximo Rafael Colón Photography. http://www.maximorafaelcolon.com/.",
s127,PHOTOS: Where The Kids Across Town Grow Up With Very Different Schools,"Wes Frazer, Preston Gannaway, Talia Herman, Alex Matzke, Elissa Nadworny, Jesse Neider",NPR.org,,website,,undesign,"Frazer, Wes, Preston Gannaway, Talia Herman, Alex Matzke, Elissa Nadworny, and Jesse Neider. 2019. “PHOTOS: Where The Kids Across Town Grow Up With Very Different Schools.” NPR.Org. July 25, 2019. https://www.npr.org/2019/07/25/739494351/separate-and-unequal-schools.",
s128,Planning Against Property,,Twitter,,website,,undesign,“Planning Against Property.” Twitter. https://twitter.com/notforproperty.,
s129,Police Strategy No. 5: Reclaiming the Public Spaces of New York,"William Bratton, Rudolph Giuliani",New York City Police Department,1994,report,,undesign,"Bratton, William, and Rudolph Giuliani. 1994. “Police Strategy No. 5: Reclaiming the Public Spaces of New York.” New York City, NY: New York City Police Department. http://marijuana-arrests.com/docs/Bratton-blueprint-1994--Reclaiming-the-public-spaces-of-NY.pdf.",
s130,Project MUSE - Appraisal Narratives: Reading Race on the Midcentury Block,"Brown, Adrienne",Johns Hopkins University Press,2018,website,,undesign,"Brown, Adrienne. ""Appraisal Narratives: Reading Race on the Midcentury Block."" American Quarterly 70, no. 2 (2018): 211-234. doi:10.1353/aq.2018.0015.",
s131,Prospect‐Lefferts Gardens Community Is Battling for Racial Stability,"Barden, J. C.",The New York Times,1979,article,,undesign,"Barden, J. C. “Prospect‐Lefferts Gardens Community Is Battling for Racial Stability.” New York Times, June 17, 1979. ",
s132,Public Housing Doesn't Have to Be Terrible,"Semuels, Alana",The Atlantic,2015,article,,nycha-residents,"Semuels, Alana. “Public Housing Doesn’t Have to Be Terrible.” The Atlantic, September 22, 2015. https://www.theatlantic.com/business/archive/2015/09/public-housing-success/406561/.",
s133,Race and public housing: Revisiting the federal role,,Economic Policy Institute,,blog post,,nycha-residents,"Economic Policy Institute. “Race and Public Housing: Revisiting the Federal Role.” Accessed June 29, 2021. https://www.epi.org/publication/race-public-housing-revisiting-federal-role/.",
s134,RACE; THE POWER OF AN ILLUSION: How the Racial Wealth Gap Was Created,"Newsreel, California",,2015,video,,undesign,"Newsreel, California. RACE; THE POWER OF AN ILLUSION: How the Racial Wealth Gap Was Created, 2015. https://vimeo.com/133506632.",
s135,Racism After Redlining – AAIHS,"Connolly, N.B.D",,,blog post,,undesign,"“Racism After Redlining – AAIHS.” Accessed May 10, 2020. https://www.aaihs.org/racism-after-redlining/.",
s136,Radical Black Women of Harlem Walking Tour,"Asha Futterman, Mariame Kaba",Barnard Center for Research on Women,2019,website,,undesign,"Barnard Center for Research on Women. “Radical Black Women of Harlem Walking Tour,” May 9, 2019. http://bcrw.barnard.edu/publications/radical-black-women-of-harlem-walking-tour/.",
s137,"Radical imagination, radical humanity: Puerto Rican political activism in New York","Muzio, Rose",,2017,book,,undesign,"Muzio, Rose. Radical Imagination, RADICAL Humanity: Puerto RICAN Political Activism in New York. State University of New York Press, 2017.",
s138,Reading List: Planning Against Property,,Google Docs,,website,,undesign,,
s139,Reconstructions: Architecture and Blackness in America | MoMA,Edited by Sean Anderson,The Museum of Modern Art,2021,website,,undesign,"The Museum of Modern Art. “Reconstructions: Architecture and Blackness in America | MoMA.” Accessed June 29, 2021. https://www.moma.org/calendar/exhibitions/5219.",
s140,REDLINE - CELESTIA MORGAN_ART,"Morgan, Celestia",,,website,,undesign,"“REDLINE - CELESTIA MORGAN_ART.” Accessed August 16, 2021. https://www.celestiamorgan.com/redline.html.",
s141,"Redlines and Greenspace: The Relationship between Historical Redlining and 2010 Greenspace across the United States | Environmental Health Perspectives | Vol. 129, No. 1","Nardone, Anthony; Rudolph, E. Kara; Morella-Frosch, Rachel; and Casey, A. John",,,website,,undesign,"“Redlines and Greenspace: The Relationship between Historical Redlining and 2010 Greenspace across the United States | Environmental Health Perspectives | Vol. 129, No. 1.” Accessed August 16, 2021. https://ehp.niehs.nih.gov/doi/full/10.1289/EHP7495.",
s142,Redlining and Neighborhood Health » NCRC,"Richardson, Jason; Mitchell, C. Bruce; Meier, C.S Helen",National Community Reinvestment Coalition,,website,,undesign,"“Redlining and Neighborhood Health » NCRC.” Accessed August 16, 2021. https://ncrc.org/holc-health/.",
s143,"Representing segregation : toward an aesthetics of living Jim Crow, and other forms of racial division","edited: Norman, Brian and Williams, Kendrix Piper ",State University of New York Press,2010,book,https://clio.columbia.edu/catalog/7765731,undesign,"Williams, Piper Kendrix, and Brian Norman. Representing Segregation: Toward an Aesthetics of Living Jim Crow, and Other Forms of Racial Division. State University of New York Press, 2010.",
s144,Resources - Detroit 48202 Documentary (Curriculum),,,,website,,undesign,"“Resources - Detroit 48202 Documentary (Curriculum).” Accessed June 29, 2021. https://detroit48202.com/resources/.",
s145,Rewriting homeless identity : writing as coping in an urban homeless community,"Godfrey, S. Jeremy",Lexington Books,2016,book,https://clio.columbia.edu/catalog/11732439,undesign,"Godfrey, Jeremy S. Rewriting Homeless Identity: Writing as Coping in an Urban Homeless Community. Lanham: Lexington Books, 2016.",
s146,Rompiendo Puertas,Newsreel,,1970,video,,undesign,"Newsreel. Rompiendo Puertas, 1970. http://archive.org/details/BreakAndEnter.",
s147,"Root shock: how tearing up city neighborhoods hurts America, and what we can do about it","Fullilove, Mindy Thompson",,2004,book,https://clio.columbia.edu/catalog/14258834,undesign,"Fullilove, Mindy Thompson. Root Shock: How Tearing up City Neighborhoods Hurts America, and What We Can Do about It. First edition. New York: One World/Ballantine Books, 2004.",
s148,Saving the Blennerhasset oral history collection,"Bailey, Nellie; Colflesh, Don; Dorris, Wendell; Gabriel, George; McGuire, Demi and Rivera, Deland",,2016,manuscript,,undesign,"“Saving the Blennerhasset Oral History Collection, 2016; Narrators - Nellie Bailey, Don Colflesh, Wendell Dorris, George Gabriel, Demi McGuire, and Deland Rivera | Finding Aid,” n.d. https://clio.columbia.edu/catalog/14642371.",
s149,Segregated Seattle: Home - Seattle Civil Rights and Labor History Project,,University of Washington,,website,,undesign,,
s150,Shade:  Shade should be a mandate for urban designers,"Bloch, Sam",Places Journal,2019,article,,undesign,,
s151,"COVID-19 in New York City:
An Ecology of Race and Class Oppression","Deborah Wallace, Rodrick Wallace","
Springer International Publishing",2021,report,,land-use,"Wallace, Deborah, Wallace, Rodrick. 2021. COVID-19 in New York City: An Ecology of Race and Class Oppression. Springer Briefs in Public Health.","This book is the first social epidemiological study of COVID-19 spread in New York City (NYC), the primary epicenter of the United States. New York City spread COVID-19 throughout the United States. The context of epicenter formation determined the rapid, extreme rise of NYC case and mortality rates. Decades of public policies destructive of poor neighborhoods of color heavily determined the spread within the City. Premature mortality rates revealed the ""weathering"" of policy-targeted communities: accelerated aging due to chronic stress. COVID attacks the elderly more severely than those under the age of 60. Communities with high proportions of prematurely aged residents proved fertile ground for COVID illness and mortality. The very public policies that created swaths of white wealth across much of Manhattan and parts of Brooklyn destroyed the human diversity needed to ride out crises.

 Topics covered within the chapters include:
 Premature Death Rate Geography in New York City: Implications for COVID-19
 NYC COVID Markers at the ZIP Code Level
 Prospero's New Castles: COVID Infection and Premature Mortality in the NY Metro Region
 Pandemic Firefighting vs. Pandemic Fire Prevention
 Conclusion: Scales of Time in Disasters"
s152,Our Vow: No More Closings,New York State Nurses Association,NYSNA.org/blog,,blog post,,land-use,"New York State Nurses Association. ""Our Vow: No More Closings.” on NYNA.org/blog ","Statement from the New York State Nurses Association on the union's commitment to fighting hospital closures, and a list of hospitals closed in New York state since 2000.
"
s153,Closures are Causing A Full-Blown Mental Health Emergency in New York,New York State Nurses Association,NYSNA.org/blog,"August 20, 2020",blog post,,land-use,"New York State Nurses Association. August 20, 2020. ""Closures are Causing A Full-Blown Mental Health Emergency in New York” on NYNA.org/blog ","Statement from the New York State Nurses Association on the closure of inpatient psychiatric units in the midst of COVID-19 and its related economic fallout. Press release announcing new whitepaper publication: “A Crisis in Inpatient Psychiatric Services in New York State Hospitals"""
s154,"NYC Department of Health nd Mental Hygiene's COVID-19 Data on Case, Hospitalization and Death Rates by Race/Ethnicity",NYC Department of Health and Mental Hygiene,,"Accessed August 24, 2021",report,,land-use,"NYC Department of Health and Mental Hygiene. February 29, 2020 - August 24, 2021. COVID-19 Data on Case, Hospitalization and Death Rates by Race/Ethnicity","The data here show cumulative data on COVID-19 in New York City since the city’s first confirmed case was diagnosed on February 29, 2020."
s155,Overview of the NYC Department of Health and Mental Hygiene’s COVID-19 Equity Action Plan,NYC Department of Health and Mental Hygiene,,"July 5, 2020",report,,land-use,"NYC Department of Health and Mental Hygiene. July 5, 2020. COVID-19 Data on Case, Hospitalization and Death Rates by Race/Ethnicity","The Department of Health and Mental Hygiene is implementing an Equity Action Plan to advance equitable policies and practices in the City’s COVID-19 response. The plan uses focused messaging and increased engagement with community and health care partners in neighborhoods with a disproportionate burden of COVID-19 cases, hospitalizations and deaths. We recognize that underinvestment in these neighborhoods and structural racism are risk factors for COVID-19."
s156,New York Renters in Covid Hot Spots Are Four Times More Likely to Face Eviction,Stefanos Chen,The New York Times,"March 17, 2021",article,,land-use,"Chen, Stephanos. March 17, 2021. “New York Renters in Covid Hot Spots Are Four Times More Likely to Face Eviction."" The New York Times","An analysis of court data shows that the areas hit hardest by the virus, largely Black and Latino neighborhoods, have the most eviction cases."
s157,Residential buildings replaced nearly half of NYC hospitals shuttered in last two decades,Devin Gannon,6sqft.com,"April 10, 2020",article,,land-use,"Gannon, Devin. April 10, 2020. ""Residential buildings replaced nearly half of NYC hospitals shuttered in last two decades"" on 6sqft.com","Why is New York facing a shortage of hospital beds during the current crisis despite having the “best health care system on the planet,” as Gov. Andrew Cuomo claimed? In the last two decades, 18 hospitals have closed in New York City, a loss of more than 20,000 beds. And new health care facilities did not replace the shuttered sites, residential buildings did."
s158,Housing and Health: Time Again for Public Health Action,"James Krieger, MD, MPH and Donna L. Higgins, PhD",American Journal of Public Health,May 2002,article,,land-use,"Krieger, J., & Higgins, D. L. 2002. ""Housing and Health: Time Again for Public Health Action"" in American Journal of Public Health, Vol. 92, 758–768. ","Poor housing conditions are associated with a wide range of health conditions, including respiratory infections, asthma, lead poisoning, injuries, and mental health. Addressing housing issues offers public health practitioners an opportunity to address an important social determinant of health. Public health has long been involved in housing issues. In the 19th century, health officials targeted poor sanitation, crowding, and inadequate ventilation to reduce infectious diseases as well as fire hazards to decrease injuries. Today, public health departments can employ multiple strategies to improve housing, such as developing and enforcing housing guidelines and codes, implementing “Healthy Homes” programs to improve indoor environmental quality, assessing housing conditions, and advocating for healthy, affordable housing. Now is the time for public health to create healthier homes by confronting substandard housing."
s159,St. Vincent's Midtown Outpost Finally Reborn as Luxury Condos,Tanay Warerkar,Curbed New York,"March 4, 2016",article,,land-use,"Warerkar, Tanay. March 4, 2016. ""St. Vincent's Midtown Outpost Finally Reborn as Luxury Condos"" in Curbed New York.","It was once home to the midtown branch of St. Vincent's Catholic Medical Center, but now it's a sprawling, 155-unit condo building."
s160,Why Surviving the Virus Might Come Down to Which Hospital Admits You,"Brian M. Rosenthal, Joseph Goldstein, Sharon Otterman and Sheri Fink",The New York Times,"July 1, 2020",article,,land-use,"Rosenthal, Brian M., Joseph Goldstein, Sharon Otterman, and Sheri Fink. July 1, 2020. “Why Surviving the Virus Might Come Down to Which Hospital Admits You” in The New York Times.
","In New York City’s poor neighborhoods, some patients have languished in understaffed hospitals, with substandard equipment. It was a different story in Manhattan’s private medical centers."
s161,Variation in COVID-19 Hospitalizations and Deaths Across New York City Boroughs.,"Rishi K. Wadhera, MD, MPP, MPhil; Priya Wadhera, MD, MS; Prakriti Gaba, MD; Jose F. Figueroa, MD, MPH; Karen E. Joynt Maddox, MD, MPH; Robert W. Yeh, MD, MSc; Changyu Shen, PhD","JAMA Network, American Medical Association","April 29, 2020",article,,land-use,"Wadhera RK, Wadhera P, Gaba P, et al. Variation in COVID-19 Hospitalizations and Deaths Across New York City Boroughs. JAMA. 2020;323(21):2192–2195. doi:10.1001/jama.2020.7197.","In the US, New York City has emerged as the epicenter of the coronavirus disease 2019 (COVID-19) outbreak.1 As of April 25, 2020, more than 150 000 cases had been reported, which is approximately 17% of total cases in the US.2,3 New York City is composed of 5 boroughs (the Bronx, Brooklyn, Manhattan, Queens, and Staten Island), each with unique demographic, socioeconomic, and community characteristics.

Prior analyses have shown health inequities across these boroughs, but whether similar patterns have also emerged amid the COVID-19 pandemic is unknown.4 Understanding the patterns could inform public health and policy strategies to mitigate the ongoing spread of COVID-19, and future approaches to address a possible resurgence of the disease. Therefore, in this study, we aimed to examine population characteristics and hospital bed capacities across the 5 boroughs and evaluate whether differences in the rates of COVID-19 testing, hospitalizations, and deaths have emerged in these communities."
s162,Decades of Shrinking Hospital Capacity ‘Spelled Disaster’ for New York’s COVID Response,Jeanmarie Evelly,City Limits,"April 15, 2020",article,,land-use,"Evelly, Jeanmarie. April 15, 2020. ""Capacity ‘Spelled Disaster’ for New York’s COVID Response"" in City Limits.",
s163,Demand Greg Russ’s Resignation to Keep Public Housing Public!,"Voiceover by Jasmine Sanchez, Cesar Yoc, La Keesha Taylor (Public Housing Tenants). Edited by Matt Young. Produced by Arthur Borden-Heilman and Ariel Lembeck.",Presented by Movement School and Sunrise Movement,"May 22, 2021",video,,nycha-residents,"Sanchez, Jasmine; Yoc, Cesar; Taylor, La Keesha (Voiceovers); Young, Matt (Editing); Borden-Heilman, Arthur; Lembeck, Ariel (Producers). May 22, 2021. ""Demand Greg Russ’s Resignation to Keep Public Housing Public!"" Presented by Movement School, Sunrise Movement on Youtube, 12:52 mins.","Explainer video by Movement School and Sunrise Movement in collaboration with NYCHA tenants about the Blueprint for Change, NYCHA CEO Greg Russ, and the Green New Deal for Public Housing"
s164,Green New Deal for Public Housing,,Presented by Movement School and Sunrise Movement,,website,,nycha-residents,"Green New Deal for Public Housing, website ","What are we fighting for? Safe housing. Clean housing. Green housing. Homes without toxic mold that causes asthma, homes without lead paint, homes without broken appliances or uncontrollable heating.We envision public housing that’s good for tenants, sustainable for the planet, and creates quality jobs."
s165,Manhattan Lead Paint Confusion Casts New Doubts on Moving Public Housing to Private Management,Greg B. Smith,The City,"August 22, 2021",article,,nycha-residents,"Smith, Greg B. August 22, 2021. ""Manhattan Lead Paint Confusion Casts New Doubts on Moving Public Housing to Private Management"" in The City.",
s166,"When Rent Comes Due, Residents of Privatized Public Housing May Be Most Vulnerable",Nate File,Bedford + Bowery,"July 7, 2020",article,,nycha-residents,"File, Nate. July 7. 2020. ""When Rent Comes Due, Residents of Privatized Public Housing May Be Most Vulnerable"" in Bedford + Bowery",
s167,"As NYCHA Teeters, Calls for More Funding in City and State Budgets",Samar Khurshid,Gotham Gazette,"March 17, 2020",article,,nycha-residents,"Khurshid, Samar. March 17, 2020. ""As NYCHA Teeters, Calls for More Funding in City and State Budgets"" in Gotham Gazette","Despite significant attention from Mayor Bill de Blasio and some from Governor Andrew Cuomo, the New York City Housing Authority, public housing home to more than 400,000 New Yorkers, continues to crumble. While both the mayor and governor, as well as many others, point to federal disinvestment in NYCHA, dissatisfied elected officials say that initial drafts of next fiscal year’s state and city budgets aren’t sufficiently addressing the problem."
s168,NYC politician’s ‘Working Group’ backs privatizing Fulton Houses over tenant objections,Paul Wilcox and Joyce Chediac,Liberation News,"January 5, 2021",article,,nycha-residents,"Wilcox, Paul and Chediac, Joyce. January 5, 2021. ""NYC politician’s ‘Working Group’ backs privatizing Fulton Houses over tenant objections"" in Liberation News.","Programs such as Rental Assistance Demonstration, Permanent Affordability Commitment Together, and recently the “Blueprint for Change,” have all been presented by New York City as solutions to a shortfall of funds needed to repair and maintain public housing. All are new names for the same con job — privatization of public housing. "
s169,Art Against Displacement research on NYCHA,multiple,Are.na,2019 - present,website,,nycha-residents,,Collaborative research folder pertaining to NYCHA compiled by members of Art Against Displacement
s170,"In Huge Defeat For De Blasio, Judge Knocks Down Inwood Rezoning",Elizabeth Kim,Gothamist,"December 19, 2019",article,,inwood-rezoning,,
s171,Controversial Inwood Rezoning Poised To Remake An Anxious Neighborhood,Lylla Younes,Gothamist,"August 7, 2018",article,,inwood-rezoning,,
s172,"Inwood's Controversial Rezoning Can Move Forward, NY's Top Court Rules",David Cruz,Gothamist,"November 23, 2020",article,,inwood-rezoning,,
s173,"In Council Chambers and a Member’s Office, Voices of Dissent on Inwood Rezoning",Sadef Ali Kully,City Limits,"August 3, 2018",article,,inwood-rezoning,,
s174,It’s Manhattan’s Last Affordable Neighborhood. But for How Long?,Matthew Haag,The New York Times,"Sept. 27, 2019",article,,inwood-rezoning,,
s175,Appeals Court Sides With City Hall in Dispute Over Inwood Rezoning,Sadef Ali Kully,City Limits,"July 23, 2020",article,,inwood-rezoning,,"Reversing a decision that could have recast the balance of power over land policy in New York City, a state appeals court on Thursday ruled that the 2018 Inwood rezoning plan could go forward. "
s176,Northern Manhattan is Not For Sale,,,,website,,inwood-rezoning,,
s177,Inwood Legal Action,,,,website,,inwood-rezoning,,
s178,Racial Impact Study Coalition,,,,report,,inwood-rezoning,,
s179,"NYCHA Ignored Warnings That Ventilation Woes Endangered Tenants During Pandemic, Emails Show",Greg B. Smith,The City,"Jul 11, 2021",article,,nycha-residents,,"A consultant repeatedly urged public housing managers to overhaul decrepit airflow systems in 240 complexes across the city. But NYCHA officials, who insisted there was no danger, did nothing for weeks as the virus raged."
s180,"Residents file a class-action lawsuit against NYCHA claiming lagging repairs, hazardous living conditions",Julia Moro,QNS,"August 17, 2021",article,,nycha-residents,,"Tenants of the New York City Housing Authority (NYCHA) at the Queensbridge Houses campus announced on Tuesday, Aug. 17, a class-action lawsuit against NYCHA for lagging in necessary repairs."
s181,"
Attack climate change for communities of color",Peggy Shepard,New York Daily News,"Aug 12, 2021",article,,environmental-racism,,
s182,An Affirmation of History and Sovereignty,Nanticoke Lenni-Lenape Tribal Nation,,,website,,nanticoke-lenape,,
s183,Friends and Strangers: E. Simms Campbell’s Mapping of a Multiracial Harlem,Blake Oetting,Bowdoin Journal of Art,2018,student project,,savoy-ballroom,"Oetting, Blake. 2018. ""Friends and Strangers: E. Simms Campbell’s Mapping of a Multiracial Harlem"" in Bowdoin Journal of Art , Vol. IV.","This paper investigates ""A Night-Club Map of Harlem,"" illustrated by E. Simms Campbell in 1932. Only recently purchased and made available by the Beinecke Library at Yale University, Campbell's map has been largely ignored by art historians of The Harlem Renaissance and American modernism. As a visual document of the interracial nightlife that characterized Harlem in the early twentieth-century, however, the map offers us new information regarding the way the physical space of Harlem became abstracted into a signification for both white and black New Yorkers. In the following pages I attempt to draw out the ways that Campbell illustrates Harlem as a space that has the ability to both cement white voyeurs' membership in a modern intelligentsia and foment black ontologies of resistance. In doing so, the social history of racialized space in Manhattan, slumming, and cartography will also be considered. I aim to describe how Campbell's map represents Harlem as a neighborhood that is comprised of white and black identity formation where both both races were able to construct subjectivities simultaneously and often in opposition to one another."
